,commonYears,country,priceProduct,productionProduct
0,23,India,Wheat,Wheat
1,23,Niger,Maize,Maize
2,23,Niger,Sorghum,Sorghum
3,17,Senegal,Maize (imported),Maize
4,17,Senegal,Sorghum,Sorghum
5,16,Nepal,Wheat,Wheat
6,15,Burkina Faso,Maize,Maize
7,15,Burkina Faso,Sorghum,Sorghum
8,15,Tajikistan,Cabbage,Cabbages and other brassicas
9,15,Tajikistan,Carrots,Carrots and turnips
10,15,Tajikistan,Maize,Maize
11,15,Tajikistan,Potatoes,Potatoes
12,15,Tajikistan,Wheat,Wheat
13,14,Afghanistan,Wheat,Wheat
14,14,Benin,Sorghum,Sorghum
15,14,Burundi,Cassava flour,Cassava
16,14,Burundi,Sweet potatoes,Sweet potatoes
17,14,Chad,Maize (white),Maize
18,14,Chad,Sorghum (red),Sorghum
19,14,Guatemala,Maize (white),Maize
20,14,Guatemala,Maize (yellow),Maize
21,14,Malawi,Maize,Maize
22,14,Mali,Maize,Maize
23,14,Mali,Sorghum,Sorghum
24,14,Mozambique,Maize (white),Maize
25,14,Nigeria,Maize,Maize
26,14,Nigeria,Sorghum,Sorghum
27,14,Zambia,Maize (white),Maize
28,13,Central African Republic,Cassava (cossette),Cassava
29,13,Central African Republic,Maize,Maize
30,13,Mozambique,Beans (dry),"Beans, dry"
31,13,Swaziland,Maize (white),Maize
32,13,Tajikistan,Onions,"Onions, dry"
33,12,Bangladesh,Lentils (masur),Lentils
34,12,Colombia,Lentils (imported),Lentils
35,12,Colombia,Maize (white),Maize
36,12,El Salvador,Maize (white),Maize
37,12,Ethiopia,Maize (white),Maize
38,12,Ethiopia,Sorghum,Sorghum
39,12,Ethiopia,Wheat,Wheat
40,12,Kyrgyzstan,Potatoes,Potatoes
41,11,Gambia,Groundnuts (shelled),"Groundnuts, with shell"
42,11,Gambia,Sorghum,Sorghum
43,11,Kenya,Beans (dry),"Beans, dry"
44,11,Kenya,Maize (white),Maize
45,11,Kenya,Potatoes (Irish),Potatoes
46,11,Kenya,Sorghum,Sorghum
47,11,Kyrgyzstan,Wheat,Wheat
