country,market,x_location,y_location
Madagascar,Madagascar,5199947.826683926,-2129398.779459702
Madagascar,Betsiboka,5260967.0238815965,-1931973.0575045953
Madagascar,Atsimo Atsinanana,5263615.196582869,-2659309.1067168536
Madagascar,Androy,5067884.564979392,-2837281.9344929443
Madagascar,Beloha,5016219.338198919,-2897116.0393475895
Madagascar,Diana,5467027.475563439,-1483092.3793804378
Madagascar,Ambovombe-androy,5072455.941196847,-2913837.669593986
Madagascar,Itasy,5231147.894595051,-2161239.479113876
Madagascar,Sofia,5371857.4261260675,-1718471.7867359715
Madagascar,Haute Matsiatra,5172610.381755022,-2447898.1237386945
Madagascar,Tsihombe,5063262.06445223,-2914921.953923081
Madagascar,Ihorombe,5131780.19289052,-2587670.7443158044
Madagascar,Alaotra Mangoro,5382457.581994253,-2038821.3197362367
Madagascar,Melaky,5007197.942722894,-2008839.98894742
Madagascar,Vatovavy Fitovinany,5328152.156332154,-2423628.645667719
Madagascar,Ampanihy,4981289.174419333,-2838221.4028170207
Madagascar,Analanjirofo,5509399.491930406,-1841369.3053950127
Madagascar,Atsinanana,5440702.458381995,-2152223.0629261197
Madagascar,Boeny,5135086.533210456,-1831944.810049195
Madagascar,Analamanga,5289134.122072875,-2107898.574959941
Madagascar,Amoron'I Mania,5201558.1857535355,-2327501.1397318714
Madagascar,Betioky,5041503.89074025,-2765866.5785650085
Madagascar,Antananarivo,5290523.465442529,-2144344.1691976693
Madagascar,Bekily,5044323.17929603,-2780474.854532661
Madagascar,Bongolava,5154962.577242458,-2106922.0718647144
Madagascar,Anosy,5149836.289977321,-2761022.785725575
Madagascar,Sava,5540749.810216701,-1607953.4611861615
Madagascar,Atsimo Andrefana,4942736.574040699,-2642991.0081329932
Madagascar,Menabe,5023959.09565958,-2277250.5080391387
El Salvador,El Salvador,-9897868.807514347,1551285.3826837388
El Salvador,Chalatenango,-9900689.632279102,1578965.175511446
El Salvador,Santa Ana,-9969403.97020835,1573610.8863096458
El Salvador,San Vicente,-9883349.506517721,1533326.6902163995
El Salvador,Zacatecoluca,-9892987.625954248,1517840.1105334947
El Salvador,San Salvador,-9928744.0029945,1539705.344345638
El Salvador,Ahuachapan,-10001643.33038843,1565432.094287242
El Salvador,Usulutan,-9844900.266467383,1499040.1182812804
El Salvador,Sonsonate,-9988446.104192263,1542153.6627056235
El Salvador,La Union,-9778265.310323695,1498325.0075824952
El Salvador,Cojutepeque,-9900147.773525715,1542311.6474497342
El Salvador,San Francisco Gotera,-9807923.159891093,1539272.3427641243
El Salvador,Sensuntepeque,-9866078.576951822,1560015.2882046008
Somalia,Somalia,1699477.5965504732,-1480367.9123342321
Somalia,Bossaso,5500376.495730743,1232403.346449192
Somalia,Gaalkacyo,5279975.398224361,755362.0238123544
Somalia,Qardho,5517754.491519294,1053950.1470557363
